StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q19,Q47,Q50,Q22,Q23,Q54,Q56,Q30,Q59,Q32,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q62,Q17,Random ID
2021-02-13 14:41:03,2021-02-13 15:08:29,IP Address,76.107.51.235,100,1646,TRUE,2021-02-13 15:08:30,R_2pQy9JsADCQ7OmA,,,,,32.5529937744141000,-92.04219818115230000,anonymous,EN,go up three spaces and turn right,search for the purple key,go to purple box,pick up and drop the top  blue key,open the green door,go to the room with the green box,pick up and drop yellow ball open blue door,open yellow door go to purple key,put grey ball next to green key open yellow door,find the green box and put it next to the red key,go to the blue ball then the yellow ball,pick up the red ball put it next to yellow box,go to the red box,go to the purple key,1,pick up green box put it next to green ball,go to the grey ball,go to the red ball,go to the grey key,3,pick up blue key open seven doors,pick up green key pick up yellow box go to grey ball,pick up grey ball then pick up yellow ball,pick up yellow box,2,pick up blue ball go to purple ball,pick up purple box go to red ball open green doors go to green key,pick up grey ball  pick up blue key put blue key next to yellow box pick up red box,pick up green box,pick up red box open blue door go to grey ball,,This was a great study!,43056
2021-02-13 13:05:55,2021-02-13 18:41:58,IP Address,173.168.79.241,100,20163,TRUE,2021-02-13 18:41:58,R_3ku098Fl4fX4K58,,,,,27.8672027587891000,-82.35030364990230000,anonymous,EN,Rotate Triangle 90 degrees clockwise. Move triangle up three squares. Rotate triangle 90 degrees clockwise,Go to the purple key,collect blue key and unlock the blue lock,Move the blue key,Go to the green lock,Search the area,Pick up the yellow ball and go to the purple door,Go through the yellow door then go to the blue door,go through the blue door,Move the green door,go the green ball,Put the red ball by the yellow door,Go to the red door,Go between the yellow key and the purple ball,1,Move the green door infront of the green ball,Move to the grey ball,Go in front of the red ball,Go to the grey key,3,Pick up and deposit the blue key then pick up the green key,Pick up and move the yellow gate,Pick up and move the yellow ball to the side,Pick up and drop the yellow gate. Then go to the red gate,2,Pick up and move the blue ball then go to the purple ball,Pick up gray gate and go to the green key,Pick up the blue key and put it next to the yellow door,Pick up green gate and head toward green door,Go to infront of the grey ball,,,91872
2021-02-14 12:51:58,2021-02-14 13:23:21,IP Address,65.190.245.108,100,1883,TRUE,2021-02-14 13:23:22,R_71D8LC8gu6rY2Zj,,,,,36.021697998046900,-79.78389739990230000,anonymous,EN,"go north 3 spaces, turn right, go east 1 space",go to the purple key,go to the purple box,move the blue key,open the green door,go to a blue door,"pick up and drop the yellow ball, then go to the blue door",move the red key and go to the purple key,put the grey ball next to the blue key and go through the blue door,go to the purple key and find the purple ball,go to the green ball,pick up the red ball and put it beside the yellow box,go to the red box,go to the purple key,1,pick up the green box and place it beside the green ball,go to the grey ball,find and go to the red ball,go to a grey ball then go to a grey key,3,"pick up and drop a blue key, go through a green door, purple, yellow door, green door, green door, green door, pick up green key, go through blue doorpick up a green key","go through red door, grey door, blue door, grey door, pick up yellow box, go to grey ball","go through grey door, grey door, move purple ball, go through purple door, open green door, go through green door, green door, move yellow ball","pick up and drop yellow box, go to red door",2,"open red door, move blue ball, go through green door, go to purple ball","go through purple door, pick up grey box, go through grey door, blue door, go to red ball, go through green door, green door, backtrack through last three doors, open green door, head to green key","go through grey door, purple door, blue door, purple door, move grey ball, pick up blue key, drop blue key beside yellow box, go through grey door, pick up red box","go through blue door, go to yellow door, go to yellow box pick up green box, go to yellow box","go through red door, red door, pick up and drop red box, go to blue key, go through blue door, blue door, backtrack through last two doors, go through ppurple door, go to grey ball",,I found this to be pretty difficult.  Often the 'bot' seems to just wander around or didn't stop at a specific place in the end.,26905
2021-02-24 19:49:34,2021-02-24 20:09:44,IP Address,72.192.116.178,100,1210,TRUE,2021-02-24 20:09:44,R_p0Ja62eWyX8Gp33,,,,,36.0529937744141000,-95.7335968017578000,anonymous,EN,go to the red ball.,get the purple key.,go to the blue key and unlock the door.,go to the blue key.,go to the green door.,go to the blue door.,go to the yellow circle and to the blue door.,open the blue door grab the red key and then grab the purple key.,grab the grey circle open the blue door and go to the green key.,open the yellow door then open the green doors and grab the green box,go to the green ball.,grab the red ball and put it next to the yellow box.,go to the red box.,go to the purple key.,1,pick up the green box and put it next to the green ball.,go to the grey ball.,go to the red ball.,go to the grey key.,3,pick up the green key and go to the blue ball.,grab the yellow box and go to the purple key.,go to the yellow door.,go to the red door.,2,go to the purple ball.,grab the grey box and then the green key.,grab the blue key and put it next to the yellow box.,grab the green box then go to the green door.,go to the grey ball.,1,,22282
2021-02-24 19:49:21,2021-02-24 20:15:02,IP Address,64.83.232.16,100,1540,TRUE,2021-02-24 20:15:02,R_2TH7Jjv4Cg0GLoo,,,,,44.04840087890630,-92.4947967529297000,anonymous,EN,turn right to go ahead for three steps and then turn right,go to the right-down corner,use the blue key open the blue door and exit,pick up the blue key,open the yellow door,open all green doors,pick up and put the yellow ball,go to the purple key,"put the gray ball near the blue key, then open the blue door",go to the purple ball,go to the green ball,put the red ball near to the yellow box,"open the blue door, then go to the red box",go to the purple key,1,put the green box near to the green ball,go to the nearest gray ball,"open the purple door, then go to the red ball","open the gray door, and then go to the gray key",3,"open the green door, the pick up the green key","open the purple door, then pick up the yellow box","open the green door, pick up the yellow ball, then go to the yellow door",go to the red door,2,"open the red door, and then open the green door, go to the purple ball","open the purple door, pick up the gray box, and then open the green door","put the blue key near to the yellow box, and then pick up the red box",pick up the green box,go to the gray ball,4,none,49573
2021-02-24 19:54:23,2021-02-24 20:18:02,IP Address,172.119.172.103,100,1419,TRUE,2021-02-24 20:18:03,R_2pS6matehvtiPaS,,,,,34.1251068115234000,-117.8556976318360000,anonymous,EN,move the cursor to ball,move forward and backward,go to blue key and blue box,pick up blue key,pick up blue box and another blue box,oopen green door,pick yellow ball ,open the door and pick red key,pick green ball and blue key,open the door and second door and green door,pick green ball,pick red ball,open three doors and pick red ball,pick purple key,1,go to green door,go to purple ball,open green door and pick up red ball,open two doors and pick up key,3,open door and pick up blue balls,open the door and move around ,open the door and pick blue ball,go to red door,2,open the door and pick blue ball,open the door and go to green door,open the door and pick up blue key and close the red door,open the door and close the green door,open green and red doors,3,,30040
2021-02-24 19:53:08,2021-02-24 20:21:19,IP Address,108.64.75.194,100,1691,TRUE,2021-02-24 20:21:20,R_CeufisSlwN24g7v,,,,,38.0662994384766000,-122.165496826172000,anonymous,EN,Go straight and turn right near the circle,go to the purple key,"go to the blue key, then open the door, drop the key off, and go to the purple door",pick up the blue key,go to the green door,open green doors,go to the blue door,go to blue key,"pick up ball, put down, go through door","go through yellow door, go through green door, go to green box, pick up, put down, ",go to green ball,pick up red ball and put near yellow box,go through blue door to red box,go to purple key,1,take green box and put it near green ball,go to gray ball near yellow ball and red box,go through purple door to yellow ball,go to gray key,3,"go through green door, get green key, go through blue door, go to blue ball",get yellow box and go to purple key,"pick up yellow ball, put down, go to green door","pick up yellow ball, put down, go to red door",2,"open green door, go to purple ball",go to gray boxes,get red box,get green box,go to gray ball,4,None.,96921
2021-02-24 19:57:38,2021-02-24 20:22:11,IP Address,73.135.17.30,100,1472,TRUE,2021-02-24 20:22:11,R_2DSOiJEA3U6Tgoy,,,,,39.3361053466797000,-76.53890228271480000,anonymous,EN,"Turn right, move forward 3, turn right moe froward 1",go to the purple key,Got to blue key then open gate and get purple book,drop blue key,open green door,go through a few doors,pick up and drop yellow ball then go to blue door,go through yellow door then pick up and drop orange key,pick up grey ball place next to blue key then go next to green key,go trough yellow door than a purple one then get and move green box,move to green ball,drop red ball next to yellow box,stand next to red and green box,stand next to purple key,1,pick up green box and put it next to green ball,move to grey ball and red box,stand next to red and grey ball,stand next to grey key,3,find green key then go to grey box,pick up yellow box and move to purple key,move yellow ball from blocking yellow door,"pick up and drop yellow box, then stand next to red door",2,stand next to purple ball,pick up grey box and move next to other grey box,pick up blue key and move to yellow box then pick up orange box,pick up green box,find grey ball,4,,40312
2021-02-24 19:51:19,2021-02-24 20:22:49,IP Address,73.87.198.102,100,1889,TRUE,2021-02-24 20:22:49,R_3dWH5JYUjy2Lb3N,,,,,38.960906982421900,-77.34290313720700000,anonymous,EN,Turn right Move forward 3 times and turn right,go to the purple key,got to all objects,got oblue key,,,,,,,go to green ball,go to red ball,Go to the red box near to green box,go to purple key,1,Take the green box and bring it to the starting position,Go to grey ball,go to red ball,go to the grey key,3,go to the green ball,Move the yellow box,go to the yellow ball,Go to the purple ball near red box,2,Go to purple ball near to purple box,Go to the green key,Go to the yellow key,Go to the Green door,Go to the grey ball,3,,76316
2021-02-24 20:12:33,2021-02-24 20:29:10,IP Address,67.8.193.168,100,997,TRUE,2021-02-24 20:29:10,R_DGA098RC9RaF0uR,,,,,28.902496337890600,-81.2480010986328000,anonymous,EN,go up 3 times and go right 1 time,go to the purple key,go the purple key,go to the blue key,go to the yellow key,go to the green door,go to the blue door,go to the blue door,go to the purple key,go to the green key,go to the green circle,go to the yellow door,go to the red door,go to the purple key,1,go to the green door,go to the gray circle,go to the red circle,go to the gray key,3,go to the blue ball,go to the purple key,go to the bottom middle door,go to the purple circle,5,go to the purple circle,go to the green key,go to yellow key,go to green door ,go to gray ball,3,,78658
2021-02-24 20:08:41,2021-02-24 20:32:51,IP Address,162.211.151.73,100,1450,TRUE,2021-02-24 20:32:51,R_9ouWYSqyc5Zk1Vf,,,,,33.9779052734375,-118.4524993896480000,anonymous,EN,"Walk to the orange circle, and turn to face it.",Walk to the purple key.,Go to the purple window.,Drop the blue key next to the purple box.,Open the green door.,Go to a blue door.,Go to a yellow ball and go to a blue door.,"Pick up a red key, then go to a purple key.","Bring the grey ball to the blue key, then go to a green key.",Find a purple ball after moving a green box.,Go to the green ball.,Drop the red ball by the yellow box.,Go to a red box.,Go to the purple key.,1,Drop the green box next to the green ball.,Go to the grey ball.,Go to a red ball.,Go to a grey key.,3,"Go to a grey box while carrying a green key, after picking up the blue key.","Go to a grey ball while carrying a yellow box, after picking up the green key.",Go to a yellow door.,Go to the red door.,2,Go to a purple ball.,Carry a grey box to a green key.,Move a blue key to  yellow box then carry a red box into the next room.,Carry a green box to a green door.,Go to a grey ball after picking up a red box.,3,"On some of the later tasks, it was hard to figure out what the robot's final goal was.",85862
2021-02-24 20:08:57,2021-02-24 20:33:26,IP Address,97.103.30.50,100,1468,TRUE,2021-02-24 20:33:26,R_30dWvsylrNtWP0h,,,,,28.902496337890600,-81.2480010986328000,anonymous,EN,Go to the red circle.,Go to the purple key,"go get the blue key and use it to unlock the blue door, then pick up the purple crate",move the blue key,open the green door,go to the blue door,pick up and drop the yellow ball and go to the blue door,move the red key then go to the purple key,"put the grey ball near the blue key, then go though the blue door",go to the purple ball,go to the green ball,put the red ball next to the yellow box,go to a red box,go to the purple key,1,put the green box next to the green ball,go to a gray ball,go to the red ball,go to a gray key,3,pick up a green key and go to a blue ball,pick up a yellow box and go to a gray ball,go to a yellow door,pick up the yellow box and go to the red door,2,go to a purple ball,"pick up the gray box, then go to the green key","put the blue key near a yellow box, then pick up a red box","go to a yellow door, then pick up a green box","pick up a red box, then go to a gray ball",3,Thank you!,12716
2021-02-24 19:59:06,2021-02-24 20:34:09,IP Address,174.138.179.182,100,2102,TRUE,2021-02-24 20:34:09,R_wKO60FlfLG0K5Et,,,,,40.70660400390630,-74.20269775390630,anonymous,EN,Turn left move forward 4 blocks and turn left again,go to the purple key without touch any other object ,go the the purple square after getting purple key,Pick up the blue key,go to the room which have yellow ball,go to the blue door,pick and drop yellow ball and go to the blue door,"open yellow door, pick red key and drop it near yellow box , open blue door",put gray ball near blue key and open blue door,"Open yellow door and blue door, then go to the green box move the box and go to the blue ball",go to the green ball,put red ball near yellow box,open purple door and go to the red box,go to the purple key,1,put green box near green ball,go to the gray ball,go to the red ball after open the green door,go to the gray ball and go to the gray key,3,pick green key and go to the blue box,pick up the yellow box and go to the gray ball,"open green door, move blue ball and open yellow door after move yellow ball",go to the red door after touch yellow box,2,move blue ball and go to the blue door,pick gray box and go to the green key,put blue key near yellow box and pick red box,pick green box after open yellow door,touch the red box and go to the gray ball,3,It was interesting,50537
2021-02-24 20:21:51,2021-02-24 20:40:57,IP Address,76.89.95.33,100,1146,TRUE,2021-02-24 20:40:58,R_232FuFIIV2HFleE,,,,,33.6403961181641000,-117.92259979248000000,anonymous,EN,go to the red ball,go to the purple key,pick up the purple box,put the blue key next to the yellow ball,opoen the green door,go to the red box and go to the blue door,"pick up a ball, then open the blue door",pick up the purple key after you open the blue door,"put the grey ball next to a key, then open a door and go to the green key","pick up a blue ball and go to a purple key, then pick up the green box and go to the purple ball",go to green ball,pick up the red ball,open three door and go to red box,go to purple key,1,pick the green door and place it at starting,go to ball and next to black ball,open five doors to reach red ball,go to black ball and next go to purple key,3,pick blue key and open the door,open the door and pass on through doors and pick the box,open the door and pick the blue ball,open the red door,2,open the door and go blue ball,open green door and then enter blue door ,pick up the blue key,go to green door,open red door and pick the red box,3,,87077
2021-02-24 20:20:00,2021-02-24 20:45:44,IP Address,71.223.180.219,100,1544,TRUE,2021-02-24 20:45:44,R_2yawW0un2MLu6a6,,,,,33.5594024658203000,-112.09020233154300000,anonymous,EN,go up,get purple key,use blue key in door to get to purple window,move blue key,open green door,go to blue door,get yellow ball and go to blue door,open yellow door and blue door,put grey ball by blue key then open blue door,open the doors,go to green ball,put red ball by yellow box,go to red box,go to purple key,1,put green box by green ball,go to grey ball,go to red ball,go to grey key,3,go to blue ball,take yellow box to purple key,move yellow ball,go to red door,2,go to purple ball,go to green key,take red box,take green box to green door,go to grey ball,2,n,98496
2021-02-24 20:15:41,2021-02-24 20:47:16,IP Address,99.145.225.79,100,1895,TRUE,2021-02-24 20:47:17,R_3FPTJIESjDVgUlE,,,,,34.0782012939453000,-84.64849853515630,anonymous,EN,Get to the red ball,go to the purple key,"Go to the blue key, then to blue box and then to purple box",Go to the blue key,pick up the green box,go to the green door,open the yellow door,pick up the red key and put next to the red box,open the blue door,go through the green door pic the green box and put next to red key,go to the green ball,pick the red ball and put next to yellow box,go through blue door and then to the the red box,go to the purple key,1,pick the green box and put next to the green ball,go to the gray ball next to the yellow ball,go to the red ball,go through the gray door to the gray key,3,Go to the purple box,pick the yellow box and go to the gray ball,pick the yellow ball and move it to your right,go to the red door,2,go to the purple ball through the green door ,go to the green key through the green door,pick the red box,go through the blue door and pick the green box,go to the gray ball,5,"instructions were not clear when the robot stops in the middle of the objects. Also, it was not clear what instruction to give when the object is just move one square up or side way.",25078
2021-02-24 20:18:17,2021-02-24 20:47:57,IP Address,179.190.222.10,100,1780,TRUE,2021-02-24 20:47:57,R_2e8ry7BaS0uMri3,,,,,-5.81689453125,-35.2292938232422000,anonymous,EN,"Turn up, climb 3 squares, turn right and walk one square",Go to the purple key,Open the door,Place the blue key next to the purple box,Open the green door ,Go to a blue door ,Go to the yellow ball and then to the blue door,Go to a purple key,Place the gray ball next to the blue key and then go to the green key,Look for the purple ball,Go for the green ball,Take the red ball and place it next to the yellow box,Go to the red box,Go to the purple key,1,Take the green box and place it next to the green key,Go to the gray ball,Go for the red ball,Go to the gray ball and then to the gray key,3,"Take the blue key, release it and then take the green key","Take the green key, release it, take the yellow box and go to the purple key",Take the yellow ball next to the yellow door,"Take the yellow box, release it and go to the red door",2,Go for the purple ball,Take the gray box and look for another gray box,"Take the blue key, place it next to the yellow box and take the red box",Take the green box and take it near the green door,"Take the red box, release it and go to the gray ball",3,,39212
2021-02-24 20:01:28,2021-02-24 20:50:22,IP Address,103.114.211.90,100,2933,TRUE,2021-02-24 20:50:22,R_1kFH2IpFtkUSqLY,,,,,11.01019287109380,76.9700927734375,anonymous,EN,moving to upper direction  ,moving upper and down side and to key box ,up and down movies and closer to box and key ,movies to right and left side and up and down side for nearest to box and key box,red point moving fast ,red point movies to up and down direction ,point movies to nearest yellow point,points moved up and down and right turn and left turn ,up and down movies there direction,key are movies to on place to another place ,red circle moved to green circle ,point moved to red ball ,point moves to up and down an right and left sides,point moved to yellow circle ,1,its moved to green and gate and next moved to green ball,up and down moved to ball and gate ,red point its moved to up and down and right and left side of gate and ball ,red point moves to up and down and all gate are closed ,3,point near to blue and red key  and yellow gate opens movies there own direction with green gate to moved,point movies up and down and right and left green& yellow gate open,point are up and down direction with own way gate or locked in yellow ball ,yellow gate blocked and turn to right side of angle ,2,gate open with red ,red point direct to different ball to open gate with own direction,red point go to up and down movies,red point go green gate and opens,red points moved to up and down direction open both gates,4,good,98034
