StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q31,Q17,Random ID
2021-05-05 10:46:50,2021-05-05 11:08:09,IP Address,177.76.174.5,100,1278,TRUE,2021-05-05 11:08:10,R_3ELPQO3MuWx95Ag,,,,,-23.0825042724609000,-46.93310546875,anonymous,EN,Go to a green ball,"go to the red key, then go to a red ball, then put a red ball next to the yellow box",open a blue door and open a purple door and go to a red box,"go to the green box, then go to the yellow ball and go to a purple key",1,"Go to yellow ball, then go to blue key, pick up the green box, then go to a blue key, then put a green box next to a green ball","Go to red box, then go to the blue ball, then go to the grey ball","Open the yellow door, then open the grey door, then open the green door, then open the yellow door, then open the purple door, then go to the red ball","open a grey door, then go to the grey key",3,go to a blue box,"go to a green key and pick up the yellow box, then go to the purple key","open the purple door, then go to the green ball, then go to the red box",pick up a yellow box and go to a red door,2,go to the red box and go to a purple key,pick up the grey box and put the grey box next to a green key,"open the blue door, then pick up the blue key and go to a red box","go to yellow door, then take green box",open the red door and go to the red key and open the purple door,1,Amazing survey,11593
2021-05-05 10:50:19,2021-05-05 11:09:10,IP Address,50.231.89.169,100,1131,TRUE,2021-05-05 11:09:12,R_1JLBIC1N6Zq6nbv,,,,,33.8983001708984000,-84.58930206298830000,anonymous,EN,,English,"go to the red key, then go to a red ball, then put a red ball next to the yellow box",open a blue door and open a purple door and go to a red box,1,"go to the blue box, then go to the yellow ball and go to a purple key","pick up the green box, then go to a blue key, then put a green box next to a green ball",first go to the yellow key and purple door and the yellow dot with red door,go to the red door,3,open the blue key and the yellow key and the grey door and yellow door with purple ball and open the green door with the green key,open the blue door,go to the purple ball,open the red door,2,open the blue door and pick up the yellow key,pick up the green box and open the green door,pick up the grey ball,pick the green box,go to the red door and pick the blue box ,3,,42834
2021-05-05 11:06:11,2021-05-05 11:21:00,IP Address,68.228.115.198,100,888,TRUE,2021-05-05 11:21:00,R_1Dr8NtCbEySCI9P,,,,,29.8639068603516000,-90.10669708251950000,anonymous,EN,the red arrow goes to the direction and end to the 10th point,the red arrows go to touch the red ball,the red arrow starts with 6th box and go to 7th box and so on,the red arrows go to collect the key,2,the red arrow go to reach the green gate,red arrow goes to reach them,the red arrow strats with 7th box and move on to 8th box and so on,red arrow starts with 3rd column and reaching the destination,3,red arrow starts with 5th column and moving through gates,red arrows starts with 4th column and going directly 7th column and return to them,starts with 5th and moving to 2nd column,starts with 6th boxand goes to gate,2,starts wit second box moving first and so on,starts with red arrow goes to through the gates,7th box and collect the keys,it starts with third box and move to 6th and repeat,starts with 5 and move to 9th box with using gates,3,nice,17602
2021-05-05 11:32:03,2021-05-05 11:52:46,IP Address,178.156.96.36,100,1242,TRUE,2021-05-05 11:52:47,R_2rGRt72lfbWQkYk,,,,,38.06500244140630,-1.0576019287109400,anonymous,EN,a red triangle approaching a green circle,go to red circle,"go to blue square, then tu purple square, then to blue square, then to red square",go to purple key,1,go to green box,go to grey circle,"open yellow door, then open green door, then open yellow door, open purple door and go to red circle","go to grey circle, then open grey door and go to grey key",1,"open green door, then open purple door, then open yellow door, then open green door, then open green door, then open green door and get green key","open red door, then open blue door, then open grey door and go to yellow box","open grey door, then go to purple circle then open purple door, then open green door, then open purple door, then open purple door and go to yellow circle",go to yellow box,2,"open red door, go to blue circle and open green door","open purpe door, then go to grey box then open grey door, then open blue door, go to red circle, then open green door, then open green door and open green door","open grey door then open purple door, then open blue door,  then open purple door, take grey circle, then take blue key and  then open blue door","open blue door,  then open yellow door,  take yellow box","open red door,  then open red door, take red box, then open blue door, then open blue door,  then open purple door",4,,98635
2021-05-05 11:59:26,2021-05-05 12:25:53,IP Address,201.17.158.248,100,1587,TRUE,2021-05-05 12:25:54,R_3EEdCJir2xMzSsW,,,,,-19.90289306640630,-43.9571990966797000,anonymous,EN,Robot stopped beside the green ball,Put a red ball,Stopped in front of the green object,The robbot stopped in front of the purple key,1,Put the green box,The robot stopped beside the red box,The robot stopped beside the red ball,The robot stopped beside one of the grey keys,3,The robot stopped between the blue ball and the purple box,The robot passed by the purple key,Put the yellow ball,The robot walked towards the red door,2,The robot went towards the purple ball,The robot went towards the green key,The robot passed by the yellow key,The robot went towards the green door,The robot passed between one of the gray keys and the green box,1,I'm not sure if my descriptions are exactly as you were thinking. Any problem please let me know. Thanks!,39349
2021-05-05 15:59:33,2021-05-05 16:21:34,IP Address,168.197.150.150,100,1321,TRUE,2021-05-05 16:21:35,R_umDhzC4aCnbOu0V,,,,,-22.644805908203100,-43.656097412109400,anonymous,EN,go to a green ball,go to a red key,"go to the black door, then the purple door and then stop in front of the red square.",go to a puple key,1,"go to the yellow ball, go towards the blue key, go to the green square take it and place it next to the green ball.",go to the gray ball.,"go through the yellow door and then go to the green door, go back to the yellow door and go to the red ball.",go to the gray ball and then to the gray key.,3,"open the green door, open the purple door, open the yellow door and go to the blue ball.",go to a purple key,go get the purple ball and get the yellow ball,get the yellow box and go to the purple ball,2,"go open the red door, pick up the blue ball and go to the purple ball",open the blue door and go to green key,"get the blue key, pick up the red box and go to the yellow key",pick up the green box and go to the green door,pick up the red box and go to the grey ball,2,,55107
2021-05-05 16:09:12,2021-05-05 16:30:29,IP Address,68.103.170.223,100,1276,TRUE,2021-05-05 16:30:29,R_ZlWBzkXIhJK5lAd,,,,,37.068695068359400,-97.03099822998050000,anonymous,EN,Walk to and face the green dot. ,"Go to the red ball, grab the red ball, and put the red ball near the yellow chest.","Open the blue door, then open up a purple door and go to the red chest.",Go to the purple key,1,"Go to the yellow ball, then go to the green chest, and put the green chest next to the yellow ball.",Go to the red chest and then go to blue ball and then go to the gray ball. ,"Go through a yellow door, go through a green door, go through another yellow door, go through a purple door, and then go to the red ball. ",Open a gray door,3,Open a blue door,Pick up the purple key,Open a green door and go to the yellow ball,Open a red door,2,Open a red door and pick up a blue ball,Pick up a gray box and open a green door,Open a purple door and pick up a gray ball. then pick up a blue key. ,Open a blue door and pick up a green box. ,"Open a blue door, open a red door, and go to a gray ball.",4,"Tried my best to figure this out and give good commands. Kind of confusing in a way, but I think I did okay. Great study!",83004
2021-05-05 15:59:51,2021-05-05 16:32:36,IP Address,47.36.199.203,100,1965,TRUE,2021-05-05 16:32:36,R_272aEoX8vHc1Dg6,,,,,33.6739044189453000,-86.41089630126950000,anonymous,EN,GO STRIGHT TURN RIGHT GO STRIGHT TURN LEFT,GO TO A RED BALL AND PUT THAT IN THE DOOR,GO TO A RED DOOR,GO TO A PURBLE KEY,1,GO TO THE GREEN DOOR,GO TO THE RED DOOR,GO NEAR TO THE PURBLE DOOR ,OPEN THE GREY DOOR AND NEAR THE GREY KEY,3,OPEN THE GREEN DOOR AND PICK THE GREEN KEY,GO TO THE YELLOW BOX,TAKE THE PURBLE BALL AND YELLOW BALL,GO TO THE RED GATE,2,OPEN THE RED DOOR PICK THE BLUE BALL,GO AND OPEN THE GREEN DOOR,GO TO THE GREEN DOOR AND TAKE THE PURBLE KEY,go to the yellow door and go to a green box,open the red door and go to the red key and open the purple door,4,GOOD AND INTERESTING,84800
2021-05-05 16:11:25,2021-05-05 16:38:17,IP Address,212.201.79.238,100,1611,TRUE,2021-05-05 16:38:17,R_BDRsHSoZM2qKmvD,,,,,50.74200439453130,7.0601043701171900,anonymous,EN,Avoid purple obstacle and reach the green circle.,"pick red ball, drop red ball near yellow box",open blue and purple doors and go to red box,go to purple key,1,"go to green box, take it and place it near green ball",go to grey ball,"open yellow doors, open grey and purple door, go to red ball",go to grey door open it and go to grey key,3,go to blue ball,pick yellow box and move to grey ball,open green door pick yellow ball,pick yellow box and go to red door,2,open green door go to purple ball,open green door and go to green key,open grey door and pick red box,open blue door then pick a green box,open purple door and go to grey box,2,good luck!,10969
2021-05-05 16:21:09,2021-05-05 16:57:12,IP Address,177.39.69.69,100,2162,TRUE,2021-05-05 16:57:13,R_UikPoi9Ywx4igQ9,,,,,-30.0399017333984000,-50.228302001953100,anonymous,EN,Turn towards the green ball,carry a red ball to the yellow box,"Go down to the passage, then go down passing close to the green ball and go left to the blue door, then go up and open the purple door, then find a blue door and open it, then go to the red box",go to the purple key,1,"Go to the yellow ball, then go to the blue key, then go to the green box and pick it, then go to the blue key, then go to the yellow box, then drop the green box","Go to the red box, then go to the blue ball, then go up to a grey ball","open the yellow door, then open the grey door, then open the green door, then open the yellow door, then open the purple door, then go to the red ball",go to the grey key,3,"open all green doors, then pick up the green key, then stop between the blue ball and the purple box",pick up the yellow box,pick up the yellow ball and drop it away from the yellow door,"pick up the yellow box, then drop it, then go to the red door",2,"pick up the blue ball, then go to the purple ball","pick up the grey box, then go to the green key",Pick up the red box,"open a blue door, then pick up a green box","go to the green key, then go to the grey ball",5,,13643
2021-05-05 17:01:19,2021-05-05 17:25:19,IP Address,122.178.235.216,100,1439,TRUE,2021-05-05 17:25:19,R_2uDoEf3seR6T75Y,,,,,12.9633941650391000,77.58551025390630,anonymous,EN,go to a green boll,go to the red boll,go to a red box,go to a purpl,1,go to a green box,go to a grey,go to a red boll,go to a grey key,3,go to a grey box,go to a blue,go to a yello,go to a grey boll,2,go to a grey boll,go to a green key,go to a yello key,go to a green box,go to a grey boll,3,GOOD,47519
2021-05-05 17:22:01,2021-05-05 17:32:19,IP Address,63.75.245.255,100,617,TRUE,2021-05-05 17:32:22,R_2OO5ciiPFmgAF3H,,,,,42.5836029052734000,-83.4989013671875,anonymous,EN,"it is a    game.Key was involved in audio episodes for the marketing campaign, ""Hunt the Truth"" on the website for the video game Halo 5: Guardians, voicing a fictional ...","A res key i s movig , ad also hit th all","reflects on his life in major league baseball, after he finds out his girlfriend moves to London for a job. Thus forcing the ... Taglines: Billy Chapel must choose between the woman he loves and the game"," the key learning outcomes can be grouped into skills, knowledge, and personal ... attacking tactics in small-sided modified games, including creating and moving into space; ...",1," the key learning outcomes can be grouped into skills, knowledge, and personal ... attacking tactics in small-sided modified games, including creating and moving into space; ..."," the key learning outcomes can be grouped into skills, knowledge, and personal ... attacking tactics in small-sided modified games, including creating and moving into space; ..."," the key learning outcomes can be grouped into skills, knowledge, and personal ... attacking tactics in small-sided modified games, including creating and moving into space; ..."," the key learning outcomes can be grouped into skills, knowledge, and personal ... attacking tactics in small-sided modified games, including creating and moving into space; ...",3," the key learning outcomes can be grouped into skills, knowledge, and personal ... attacking tactics in small-sided modified games, including creating and moving into space; ..."," the key learning outcomes can be grouped into skills, knowledge, and personal ... attacking tactics in small-sided modified games, including creating and moving into space; ..."," the key learning outcomes can be grouped into skills, knowledge, and personal ... attacking tactics in small-sided modified games, including creating and moving into space; ..."," the key learning outcomes can be grouped into skills, knowledge, and personal ... attacking tactics in small-sided modified games, including creating and moving into space; ...",5," the key learning outcomes can be grouped into skills, knowledge, and personal ... attacking tactics in small-sided modified games, including creating and moving into space; ..."," the key learning outcomes can be grouped into skills, knowledge, and personal ... attacking tactics in small-sided modified games, including creating and moving into space; ..."," the key learning outcomes can be grouped into skills, knowledge, and personal ... attacking tactics in small-sided modified games, including creating and moving into space; ..."," the key learning outcomes can be grouped into skills, knowledge, and personal ... attacking tactics in small-sided modified games, including creating and moving into space; ..."," the key learning outcomes can be grouped into skills, knowledge, and personal ... attacking tactics in small-sided modified games, including creating and moving into space; ...",3,VERY INTERESTIG...,94878
2021-05-05 17:25:47,2021-05-05 17:36:55,IP Address,157.51.30.181,100,668,TRUE,2021-05-05 17:37:02,R_1JRUj9USLMlwBYQ,,,,,12.89959716796880,80.22088623046880,anonymous,EN,go to a blue  ball,"go to the red key, then go to a red ball, then put a red ball next to the yellow box",open a blue door and open a purple door and go to a red box,go to a purple key,1,put a green box next to a green ball,go to grey ball,go to the grey door and open a grey door and go to the red ball,go to grey key,3,open a blue door,go to a blue  door,take a yellow ball and go to a yellow door,go to red door,2,go to blue door,go to green key,go to grey door,go to green door,go to grey ball,1,game was interesting to play,87798
2021-05-05 17:23:51,2021-05-05 17:44:22,IP Address,198.37.126.40,100,1231,TRUE,2021-05-05 17:44:23,R_2Yxix2FoRbfHcBt,,,,,32.8137054443359000,-96.87039947509770000,anonymous,EN,English,English,go to straight  turn right turn left,go starght turn left ,1,go starght turn left turn right ,go starght turn lift turn right,turn to lift go to starght,turn to right  go to red ball,4,turn to right close to red ball,go to blue box ,the green key pick up and go to blue key ,open to blue door and go to green ball and red ball,2,open the blue door,go to the red box,pick up the gray box,pick up the blue key,pick up the red key,4,interesting,19659
2021-05-05 17:18:58,2021-05-05 17:45:28,IP Address,122.178.236.157,100,1589,TRUE,2021-05-05 17:45:29,R_3oyz4KV9xMAnRrt,,,,,12.9633941650391000,77.58551025390630,anonymous,EN,go to a blue ball,go to a red ball,go to the red box,go to a purple key,1,"pick up the green box, then go to a blue key, then put a green box next to a green ball",go to a grey ball,go to the grey door and open a grey door and go to the red ball,open a grey door,3,go to a blue box,"go to a green key and pick up the yellow box, then go to the purple key","open the purple door, then go to the green ball, then go to the red box",pick up a yellow box and go to a red door,2,go to the red box and go to a purple key,pick up the grey box and put the grey box next to a green key,"open the blue door, then pick up the blue key and go to a red box",go to the yellow door and go to a green box,open the red door and go to the red key and open the purple door,4,good,61311
2021-05-05 20:24:50,2021-05-05 20:38:40,IP Address,122.178.188.221,100,829,TRUE,2021-05-05 20:38:40,R_OP6jpF1UX3CRuVj,,,,,11.0142059326172000,76.994110107421900,anonymous,EN,Introduce the graph / chart.,Practice Generating Ideas…But Don't Write The Essay. ...,"It's an intuitive behavior used to convey information and meaning with semantic cues such as words, signs, or images. ... While the terms AI and NLP might conjure images of futuristic robots, there are already basic examples of NLP at work in our daily lives.","It's an intuitive behavior used to convey information and meaning with semantic cues such as words, signs, or images. ... While the terms AI and NLP might conjure images of futuristic robots, there are already basic examples of NLP at work in our daily lives.",1,"Common NLP Tasks & Techniques Tasks & Techniques. Many natural language processing tasks involve syntactic and semantic analysis, used to break down human language into machine-readable chunks. ... Semantic analysis focuses on identifying the meaning of language.","Common NLP Tasks & Techniques Tasks & Techniques. Many natural language processing tasks involve syntactic and semantic analysis, used to break down human language into machine-readable chunks. ... Semantic analysis focuses on identifying the meaning of language.","Common NLP Tasks & Techniques Tasks & Techniques. Many natural language processing tasks involve syntactic and semantic analysis, used to break down human language into machine-readable chunks. ... Semantic analysis focuses on identifying the meaning of language.","Natural language processing (NLP) is a subfield of linguistics, computer science, and artificial intelligence concerned with the interactions between computers and human language, in particular how to program computers to process and analyze large amounts of natural language data. The result is a computer capable of ""understanding"" the contents of documents, including the contextual nuances of the language within them. The technology can then accurately extract information and insights contained in the documents as well as categorize and organize the documents themselves.",3,"It's an intuitive behavior used to convey information and meaning with semantic cues such as words, signs, or images. ... While the terms AI and NLP might conjure images of futuristic robots, there are already basic examples of NLP at work in our daily lives.","In neuropsychology, linguistics, and the philosophy of language, a natural language or ordinary language is any language that has evolved naturally in humans through use and repetition without conscious planning or premeditation.","Natural language processing (NLP) describes the interaction between human language and computers. It's a technology that many people use daily and has been around for years, but is often taken for granted. A few examples of NLP that people use every day are: Spell check","In neuropsychology, linguistics, and the philosophy of language, a natural language or ordinary language is any language that has evolved naturally in humans through use and repetition without conscious planning or premeditation.",2,"Text planning − It includes retrieving the relevant content from knowledge base. Sentence planning − It includes choosing required words, forming meaningful phrases, setting tone of the sentence. Text Realization − It is mapping sentence plan into sentence structure.",Go straight go to the green key,go and catch the yellow ball,go and green key,Go to the white key,3,Good,43430
2021-05-05 20:55:28,2021-05-05 21:19:57,IP Address,191.189.17.121,100,1469,TRUE,2021-05-05 21:19:58,R_2ROkS3fuE4tNw9Z,,,,,-3.1031951904296900,-60.02880096435550000,anonymous,EN,he faced the green ball,He left the red ball in front of the yellow square,the robot faced the red box,the robot faced the purple key,1,the robot left the green box next to the green ball,the robot faced the gray ball.,the robot faced the red ball,the robot faced the gray key.,3,the robot took the green key,the robot took the yellow box ,the robot dropped the yellow ball,the robot dropped the yellow box,2,the robot dropped the blue ball,the robot took the gray box.,the robot took the red box,the robot took the green box,the robot dropped the red box,5,thanks for the opportunity and I'm sorry if I missed something. Congratulations!,20210
2021-05-05 21:24:24,2021-05-05 22:15:34,IP Address,107.155.154.165,100,3070,TRUE,2021-05-05 22:15:34,R_2rPGxOhwI7cbvqp,,,,,37.751007080078100,-97.82199859619140000,anonymous,EN,get the green ball,pick the red ball and placed somewhere,got to the green ball and go to the red door,go to the green door  go to the green ball pick the key,1,go to the yellow ball then go to the blue key then got to the green door,go to the blue ball then go to grey ball,go to the yellow door then go through green door then open yellow door go to red ball,go to the grey door then go to the grey key,3,pick the gree key,get the yellow box,go the grey door pick blue ball pace it behind then go the green door,go to the red door,2,go to the red door then go to the purple ball,go to the grey door and pick  grey box and go to the green key,go to the blue door then pick the blue key and place it near yellow box ,open the blue door and pick the green box,go to the red door pick the red box then go to the grey ball,3,interesting task,72607
2021-05-06 07:32:50,2021-05-06 07:59:05,IP Address,120.29.117.70,100,1575,TRUE,2021-05-06 07:59:06,R_2YQDkk9E6Ap0C52,,,,,14.734405517578100,121.142486572266000,anonymous,EN,Search and pick up a green ball.,Go get the red ball,Find and enter  the red exist.,Go to the purple key,1,Go to the green box,pick up the blue ball then to the grey ball.,"After entering the purple door,  pick up a red ball.",Pick up a grey key.,3,Pick up the blue box,Go through the blue door.,Pick up the yellow ball and move it.,Place yourself between the red door and the purple ball.,2,Stop near the blue door,After going through the green door stop next to the green key.,Picj up  the red box and move it out of the grey room.,Pick up the green box.,"Once through the purple door, go the grey ball.",5,"Not sure I did this right, but I think the I to follow what was in the instructions. I basically followed the robots last actions and put down a command. Found the whole thing fascinating but little confusing.",88493
2021-05-06 14:45:09,2021-05-06 15:05:10,IP Address,212.162.148.56,100,1201,TRUE,2021-05-06 15:05:11,R_3ezCPlYhYkPYrlz,,,,,41.8777008056641000,-87.637603759765600,anonymous,EN,go to green ball,go to red ball,go to blue door,go to purple key,1,go to green door,go to gray ball,go to yellow door go to green door go to green door go to purple door,go to yellow door go to green door and pick gray key,3,go to green door go to purple door go to yellow door go to green door pick yellow green,go to a yellow box,go to purple door go to green door,go to yellow box,2,go to blue ball go to purple door,go to gray box,go to yellow door go to green door go to blue key,go to green box,go to red door go to red box,4,,38281
